player_id,player_name,club,date_joined,date_left,fee,prev_club,next_club,transfer_type,season
46377,Godwin Antwi,Tranmere,2008-07-25,2008-12-29,Loan,Liverpool,,Loan,2008/09
107,Graham Allen,Tranmere,1998-08-29,1998-09-22,Loan,Everton,,Loan,1998/99
107,Graham Allen,Tranmere,1998-09-23,2004-06-15,Free,Everton,Rushden,Transfer,1998/99
917,Graham Branch,Tranmere,1991-07-02,1998-05-31,Free,Heswell Athletic,Stockport,Transfer,1991/92
46582,Gunnar Nielsen,Tranmere,2010-08-01,2011-03-20,Loan,Man City,,Loan,2010/11
42194,Guy Madjo,Tranmere,2014-11-19,2015-07-25,Free,Macclesfield,,Transfer,2014/15
71940,Harrison McGahey,Tranmere,2015-02-13,2015-03-13,Loan,Sheff Utd,,Loan,2014/15
128731,Harrison Musuamba,Tranmere,2020-01-06,2021-07-01,Unknown,,,Unknown,2019/20
99454,Harvey Gilmour,Tranmere,2018-07-09,2020-08-01,Unknown,Sheff Utd,Stockport,Unknown,2018/19
100535,Harvey Saunders,Tranmere,2023-01-27,,Undisc.,Bristol R,,Transfer,2022/23
163,Iain Anderson,Tranmere,2003-03-27,2003-05-04,Loan,Preston,,Loan,2002/03
18869,Iain Hume,Tranmere,1999-08-01,2005-08-31,Trainee,Trainee,Leicester,Trainee,1999/00
18869,Iain Hume,Tranmere,2015-01-29,2015-07-01,Free,Preston,Kolkheti Poti,Transfer,2014/15
22030,Iain Turner,Tranmere,2015-08-01,2017-07-13,Free,Sheff Utd,Southport,Transfer,2015/16
2491,Ian Feuer,Tranmere,2002-08-12,2002-09-18,Signed,Wimbledon,Wolves,Transfer,2002/03
14177,Ian Goodison,Tranmere,2004-02-20,2015-07-25,Signed,Hull,,Transfer,2003/04
15076,Ian Sharps,Tranmere,1998-08-01,2006-08-03,Trainee,Trainee,Rotherham,Trainee,1998/99
5556,Ian Thomas-Moore,Tranmere,1994-07-06,1997-03-15,Trainee,Trainee,Nottm Forest,Trainee,1994/95
5556,Ian Thomas-Moore,Tranmere,2008-01-31,2011-01-26,Signed,Hartlepool,Rotherham,Transfer,2007/08
5998,Iffy Onuora,Tranmere,2004-02-27,2004-03-25,Free,Sheff Utd,Huddersfield,Transfer,2003/04
41710,Ishmael Miller,Tranmere,2019-01-07,2020-07-01,Free,Oldham,,Transfer,2018/19
805,Ivano Bonetti,Tranmere,1996-08-09,1997-05-31,Free,Grimsby,Crystal Palace,Transfer,1996/97
80291,Jack Dunn,Tranmere,2017-01-31,2017-05-15,Loan,Liverpool,,Loan,2016/17
80291,Jack Dunn,Tranmere,2017-07-01,2018-06-01,Free,Liverpool,Southport,Transfer,2017/18
102633,Jack Flemming,Tranmere,2016-01-01,2017-07-01,,,,,2015/16
55478,Jack Mackreth,Tranmere,2010-07-01,2011-08-01,Trainee,Trainee,Barrow,Trainee,2010/11
55478,Jack Mackreth,Tranmere,2016-01-29,2016-06-06,Signed,Grimsby,Macclesfield,Transfer,2015/16
125058,Jack Young,Tranmere,2020-10-14,2021-01-04,Loan,Newcastle,,Loan,2020/21
97829,Jacob Maddox,Tranmere,2019-08-08,2019-12-24,Loan,Chelsea U21,,Loan,2019/20
128729,Jake Burton,Tranmere,2020-01-06,,Unknown,,,Unknown,2019/20
